Scheme,Price,Date
Moderate Fund,0.9604,2008-02-06
NZ Cash Fund,1.0284,2008-02-06
Balanced Fund,0.9207,2008-02-07
Conservative Fund,0.9949,2008-02-07
Growth Fund,0.8873,2008-02-07
Moderate Fund,0.9574,2008-02-07
NZ Cash Fund,1.0288,2008-02-07
Balanced Fund,0.9219,2008-02-08
Conservative Fund,0.9941,2008-02-08
Growth Fund,0.8887,2008-02-08
Moderate Fund,0.9582,2008-02-08
NZ Cash Fund,1.029,2008-02-08
Balanced Fund,0.9219,2008-02-09
Conservative Fund,0.9941,2008-02-09
Growth Fund,0.8887,2008-02-09
Moderate Fund,0.9582,2008-02-09
NZ Cash Fund,1.029,2008-02-09
Balanced Fund,0.9219,2008-02-10
Conservative Fund,0.9941,2008-02-10
Growth Fund,0.8887,2008-02-10
Moderate Fund,0.9582,2008-02-10
NZ Cash Fund,1.029,2008-02-10
Balanced Fund,0.9191,2008-02-11
Conservative Fund,0.9932,2008-02-11
Growth Fund,0.8862,2008-02-11
Moderate Fund,0.9556,2008-02-11
NZ Cash Fund,1.0297,2008-02-11
Balanced Fund,0.9173,2008-02-12
Conservative Fund,0.9934,2008-02-12
Growth Fund,0.8836,2008-02-12
Moderate Fund,0.9546,2008-02-12
NZ Cash Fund,1.0299,2008-02-12
Balanced Fund,0.9211,2008-02-13
Conservative Fund,0.9938,2008-02-13
Growth Fund,0.8891,2008-02-13
Moderate Fund,0.9566,2008-02-13
NZ Cash Fund,1.0302,2008-02-13
Balanced Fund,0.9289,2008-02-14
Conservative Fund,0.9965,2008-02-14
Growth Fund,0.8983,2008-02-14
Moderate Fund,0.9625,2008-02-14
NZ Cash Fund,1.0304,2008-02-14
Balanced Fund,0.9239,2008-02-15
Conservative Fund,0.9938,2008-02-15
Growth Fund,0.8932,2008-02-15
Moderate Fund,0.958,2008-02-15
NZ Cash Fund,1.0305,2008-02-15
Balanced Fund,0.9239,2008-02-16
Conservative Fund,0.9938,2008-02-16
Growth Fund,0.8932,2008-02-16
